City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Chandigarh,Cultural Tour,"22, Hill View Road, Chandigarh",September to February,4683
Leh,River Rafting,"31, Heritage Lane, Leh",October to March,7533
Hyderabad,Trekking,"62, Hill View Road, Hyderabad",December to March,7309
Gangtok,Beach Visit,"33, Heritage Lane, Gangtok",November to March,2886
Indore,Trekking,"87, Main Street, Indore",October to March,5360
Kolkata,Cultural Tour,"122, Hill View Road, Kolkata",November to March,6465
Varanasi,Sightseeing,"89, Market Road, Varanasi",September to February,4751
Kavaratti,Historical Tour,"100, Heritage Lane, Kavaratti",December to March,4585
Ahmedabad,Beach Visit,"149, Temple Road, Ahmedabad",October to March,5454
Vadodara,Temple Visit,"57, Temple Road, Vadodara",October to March,2859
Gangtok,Adventure Sports,"51, Cultural District, Gangtok",October to February,9817
Surat,Temple Visit,"89, Main Street, Surat",October to March,3136
Coimbatore,River Rafting,"75, Beachside Promenade, Coimbatore",November to February,8209
Udaipur,Shopping,"59, Heritage Lane, Udaipur",November to February,5304
Jaipur,Sightseeing,"28, Cultural District, Jaipur",October to March,6332
Chandigarh,Historical Tour,"65, Beachside Promenade, Chandigarh",October to March,4359
Varanasi,Food Tasting,"82, Riverfront Area, Varanasi",September to February,3104
Imphal,Food Tasting,"114, Main Street, Imphal",October to February,2662
Hyderabad,Wildlife Safari,"56, Heritage Lane, Hyderabad",December to March,8138
Manali,Food Tasting,"55, Cultural District, Manali",October to March,3373
Puri,Adventure Sports,"109, Hill View Road, Puri",October to February,9520
Vadodara,Temple Visit,"105, Old Town, Vadodara",November to February,3112
Mysore,Beach Visit,"53, Garden Street, Mysore",November to February,5001
Amritsar,Historical Tour,"104, Old Town, Amritsar",October to March,5516
Madurai,Cultural Tour,"128, Hill View Road, Madurai",November to February,6792
Patna,Beach Visit,"44, Hill View Road, Patna",November to March,4897
Goa,River Rafting,"68, Lake Side, Goa",November to February,9009
Agartala,Temple Visit,"28, Heritage Lane, Agartala",October to February,1198
Delhi,Cultural Tour,"3, Old Town, Delhi",September to February,5792
Darjeeling,Beach Visit,"72, Temple Road, Darjeeling",November to March,3976
Manali,Museum Visit,"129, Riverfront Area, Manali",October to March,2746
Pondicherry,Trekking,"18, Old Town, Pondicherry",December to March,7616
Chandigarh,Adventure Sports,"81, Garden Street, Chandigarh",September to February,12136
Gangtok,Wildlife Safari,"94, Main Street, Gangtok",November to March,9651
Port Blair,Cultural Tour,"85, Heritage Lane, Port Blair",November to April,3627
Amritsar,Wildlife Safari,"81, Garden Street, Amritsar",September to February,5238
Patna,River Rafting,"52, Main Street, Patna",November to March,9400
Varanasi,Beach Visit,"150, Hill View Road, Varanasi",September to February,3908
Kavaratti,Temple Visit,"13, Temple Road, Kavaratti",December to March,1310
Coimbatore,Sightseeing,"79, Cultural District, Coimbatore",November to February,4445
Udaipur,Beach Visit,"97, Central Plaza, Udaipur",November to February,4686
Leh,Museum Visit,"83, Main Street, Leh",September to February,2735
Lakshadweep,River Rafting,"14, Market Road, Lakshadweep",November to April,9110
Leh,Temple Visit,"70, Heritage Lane, Leh",October to March,2979
Daman,Sightseeing,"100, Cultural District, Daman",December to March,6790
Amritsar,Historical Tour,"30, Lake Side, Amritsar",October to March,3126
Kolkata,Beach Visit,"42, Central Plaza, Kolkata",October to February,2728
Indore,Food Tasting,"129, Lake Side, Indore",October to March,3581
Shillong,Trekking,"32, Beachside Promenade, Shillong",November to March,4147
Jodhpur,Food Tasting,"58, Central Plaza, Jodhpur",October to March,3203
Amritsar,River Rafting,"57, Hill View Road, Amritsar",October to March,11611
Bengaluru,Food Tasting,"136, Lake Side, Bengaluru",December to March,2776
Surat,Adventure Sports,"37, Old Town, Surat",October to March,12092
Udaipur,Food Tasting,"119, Garden Street, Udaipur",October to March,3002
Agra,Beach Visit,"31, Cultural District, Agra",September to February,2633
Port Blair,Sightseeing,"89, Lake Side, Port Blair",November to April,6342
Madurai,Shopping,"41, Main Street, Madurai",November to February,4455
Daman,Temple Visit,"83, Temple Road, Daman",November to April,2346
Port Blair,Shopping,"68, Market Road, Port Blair",December to March,5821
Lakshadweep,Sightseeing,"138, Old Town, Lakshadweep",November to April,5158
Puri,Beach Visit,"132, Central Plaza, Puri",October to February,3594
Kochi,Cultural Tour,"62, Heritage Lane, Kochi",December to March,7702
Coimbatore,Trekking,"144, Temple Road, Coimbatore",December to March,6970
Surat,Trekking,"42, Riverfront Area, Surat",November to February,8919
Ahmedabad,Museum Visit,"58, Riverfront Area, Ahmedabad",October to March,2875
Surat,Food Tasting,"1, Temple Road, Surat",October to March,3656
Vijayawada,Beach Visit,"103, Heritage Lane, Vijayawada",November to February,5959
Delhi,Food Tasting,"104, Hill View Road, Delhi",September to February,3033
Vijayawada,Food Tasting,"27, Beachside Promenade, Vijayawada",December to March,3082
Indore,Trekking,"57, Market Road, Indore",October to March,7710
Mumbai,Shopping,"80, Market Road, Mumbai",October to March,2377
Manali,Museum Visit,"66, Lake Side, Manali",September to February,2972
Darjeeling,Museum Visit,"102, Old Town, Darjeeling",October to February,1636
Kolkata,Sightseeing,"127, Central Plaza, Kolkata",November to March,4281
Lakshadweep,Adventure Sports,"102, Lake Side, Lakshadweep",December to March,8421
Vijayawada,Food Tasting,"102, Heritage Lane, Vijayawada",December to March,3826
Shimla,Adventure Sports,"123, Heritage Lane, Shimla",September to February,10867
Port Blair,Museum Visit,"53, Main Street, Port Blair",November to April,2377
Surat,Cultural Tour,"107, Main Street, Surat",November to February,5360
Varanasi,Historical Tour,"43, Heritage Lane, Varanasi",September to February,5360
Imphal,River Rafting,"107, Lake Side, Imphal",October to February,10823
Kochi,River Rafting,"80, Heritage Lane, Kochi",November to February,11284
Puri,Sightseeing,"116, Old Town, Puri",October to February,4078
Hyderabad,Beach Visit,"45, Riverfront Area, Hyderabad",November to February,5809
Hyderabad,Museum Visit,"50, Beachside Promenade, Hyderabad",December to March,2278
Ahmedabad,Museum Visit,"138, Lake Side, Ahmedabad",November to February,2387
Chennai,Temple Visit,"84, Hill View Road, Chennai",December to March,1785
Mumbai,Beach Visit,"76, Heritage Lane, Mumbai",November to February,5296
Vijayawada,Beach Visit,"124, Lake Side, Vijayawada",November to February,5588
Patna,Cultural Tour,"56, Hill View Road, Patna",November to March,4498
Port Blair,Food Tasting,"8, Old Town, Port Blair",November to April,2980
Varanasi,Wildlife Safari,"99, Old Town, Varanasi",September to February,8088
Nagpur,Historical Tour,"5, Hill View Road, Nagpur",October to March,5453
Goa,Beach Visit,"57, Central Plaza, Goa",October to March,4270
Indore,Adventure Sports,"53, Garden Street, Indore",November to February,14991
Lakshadweep,Museum Visit,"67, Riverfront Area, Lakshadweep",November to April,2873
Kochi,Adventure Sports,"86, Hill View Road, Kochi",December to March,13135
Pune,Shopping,"9, Cultural District, Pune",November to February,3383
Thiruvananthapuram,Shopping,"127, Garden Street, Thiruvananthapuram",November to February,3906
Coimbatore,Trekking,"127, Beachside Promenade, Coimbatore",December to March,5317
Diu,Historical Tour,"110, Beachside Promenade, Diu",November to April,4013
Leh,Shopping,"149, Heritage Lane, Leh",September to February,4383
Jaipur,Adventure Sports,"56, Cultural District, Jaipur",September to February,14672
Agra,Sightseeing,"136, Garden Street, Agra",September to February,5901
Pondicherry,Adventure Sports,"150, Beachside Promenade, Pondicherry",December to March,13236
Pondicherry,Historical Tour,"137, Beachside Promenade, Pondicherry",November to February,3631
Imphal,Wildlife Safari,"141, Central Plaza, Imphal",November to March,7414
Diu,Museum Visit,"135, Main Street, Diu",November to April,1530
Leh,Temple Visit,"61, Market Road, Leh",October to March,2747
Daman,Trekking,"59, Main Street, Daman",November to April,7823
Manali,Food Tasting,"6, Market Road, Manali",October to March,2989
Port Blair,Museum Visit,"122, Lake Side, Port Blair",November to April,2485
Puri,Historical Tour,"129, Market Road, Puri",October to February,6851
Patna,River Rafting,"38, Central Plaza, Patna",November to March,10965
Ahmedabad,Adventure Sports,"143, Main Street, Ahmedabad",November to February,10985
Rishikesh,River Rafting,"95, Heritage Lane, Rishikesh",October to March,11381
Vijayawada,Shopping,"122, Temple Road, Vijayawada",November to February,2240
Surat,Trekking,"25, Cultural District, Surat",October to March,8929
Imphal,Temple Visit,"78, Beachside Promenade, Imphal",October to February,1931
Udaipur,Temple Visit,"92, Central Plaza, Udaipur",October to March,1172
Bhubaneswar,Sightseeing,"81, Temple Road, Bhubaneswar",November to March,5576
Jodhpur,Historical Tour,"80, Heritage Lane, Jodhpur",November to February,4300
Agartala,Shopping,"126, Lake Side, Agartala",October to February,4621
Shimla,Food Tasting,"63, Temple Road, Shimla",October to March,2511
Bengaluru,Sightseeing,"36, Main Street, Bengaluru",November to February,3144
Darjeeling,Food Tasting,"63, Cultural District, Darjeeling",October to February,3781
Port Blair,Adventure Sports,"25, Main Street, Port Blair",December to March,12558
Hyderabad,Beach Visit,"58, Hill View Road, Hyderabad",November to February,3069
Coimbatore,Trekking,"5, Riverfront Area, Coimbatore",November to February,6799
Chennai,Museum Visit,"45, Market Road, Chennai",December to March,2390
Vijayawada,Shopping,"15, Market Road, Vijayawada",November to February,2197
Amritsar,Museum Visit,"149, Main Street, Amritsar",September to February,1894
Agartala,Shopping,"49, Hill View Road, Agartala",November to March,2630
Agra,Wildlife Safari,"120, Old Town, Agra",October to March,8995
Thiruvananthapuram,Cultural Tour,"88, Garden Street, Thiruvananthapuram",December to March,4768
Manali,Adventure Sports,"64, Heritage Lane, Manali",September to February,11448
Shimla,Trekking,"112, Old Town, Shimla",September to February,5621
Bengaluru,Beach Visit,"8, Old Town, Bengaluru",December to March,5128
Chennai,Temple Visit,"66, Lake Side, Chennai",December to March,1243
Port Blair,Wildlife Safari,"51, Market Road, Port Blair",December to March,8481
Bhubaneswar,Adventure Sports,"27, Market Road, Bhubaneswar",November to March,7759
Shillong,Sightseeing,"42, Riverfront Area, Shillong",October to February,3448
Pondicherry,Temple Visit,"67, Garden Street, Pondicherry",December to March,1897
Chennai,River Rafting,"2, Temple Road, Chennai",December to March,9380
Jodhpur,Historical Tour,"16, Temple Road, Jodhpur",November to February,7576
Vijayawada,Museum Visit,"37, Central Plaza, Vijayawada",November to February,2064
Gangtok,Food Tasting,"32, Old Town, Gangtok",November to March,3845
Pune,Beach Visit,"98, Hill View Road, Pune",October to March,5933
Thiruvananthapuram,Museum Visit,"10, Beachside Promenade, Thiruvananthapuram",December to March,2145
Rishikesh,Historical Tour,"91, Temple Road, Rishikesh",September to February,5436
Goa,Historical Tour,"69, Garden Street, Goa",October to March,7850
Darjeeling,Sightseeing,"115, Old Town, Darjeeling",November to March,3866
Daman,Cultural Tour,"87, Cultural District, Daman",November to April,5761
Rishikesh,Wildlife Safari,"107, Main Street, Rishikesh",October to March,6556
Ranchi,Museum Visit,"135, Cultural District, Ranchi",October to February,2603
Amritsar,Museum Visit,"93, Old Town, Amritsar",September to February,2306
Delhi,Museum Visit,"72, Old Town, Delhi",October to March,1601
Gangtok,River Rafting,"45, Market Road, Gangtok",November to March,7015
Gangtok,Temple Visit,"113, Beachside Promenade, Gangtok",November to March,2615
Goa,Wildlife Safari,"46, Old Town, Goa",November to February,7958
Nagpur,Sightseeing,"73, Old Town, Nagpur",November to February,3741
Thiruvananthapuram,Trekking,"11, Cultural District, Thiruvananthapuram",December to March,8082
Chennai,Beach Visit,"88, Lake Side, Chennai",December to March,5982
Chennai,Shopping,"141, Lake Side, Chennai",December to March,4543
Puri,Adventure Sports,"57, Hill View Road, Puri",October to February,7424
Varanasi,River Rafting,"85, Riverfront Area, Varanasi",October to March,9558
Imphal,Cultural Tour,"77, Riverfront Area, Imphal",October to February,4350
Pondicherry,Beach Visit,"82, Heritage Lane, Pondicherry",November to February,4366
Imphal,Temple Visit,"98, Old Town, Imphal",November to March,3401
Thiruvananthapuram,Beach Visit,"132, Lake Side, Thiruvananthapuram",November to February,4445
Indore,Beach Visit,"33, Market Road, Indore",October to March,2946
Nagpur,Wildlife Safari,"116, Temple Road, Nagpur",November to February,9397
Chennai,Museum Visit,"3, Beachside Promenade, Chennai",November to February,2667
Nagpur,Adventure Sports,"53, Beachside Promenade, Nagpur",November to February,12666
Rishikesh,Historical Tour,"6, Main Street, Rishikesh",September to February,4366
Puri,Sightseeing,"34, Cultural District, Puri",October to February,5275
Diu,Cultural Tour,"16, Main Street, Diu",November to April,7556
Agra,Cultural Tour,"61, Old Town, Agra",September to February,3540
Shimla,Wildlife Safari,"80, Old Town, Shimla",September to February,9928
Leh,Temple Visit,"22, Beachside Promenade, Leh",October to March,2469
Chennai,Beach Visit,"139, Central Plaza, Chennai",November to February,4131
Manali,Cultural Tour,"8, Temple Road, Manali",October to March,4032
Puri,Museum Visit,"75, Riverfront Area, Puri",October to February,1852
Patna,Food Tasting,"111, Garden Street, Patna",November to March,1578
Diu,Food Tasting,"129, Market Road, Diu",November to April,2807
Gangtok,Temple Visit,"129, Lake Side, Gangtok",November to March,2717
Patna,Wildlife Safari,"62, Riverfront Area, Patna",October to February,6491
Pondicherry,Food Tasting,"67, Market Road, Pondicherry",November to February,3307
Amritsar,Sightseeing,"99, Beachside Promenade, Amritsar",September to February,4994
Bhubaneswar,Cultural Tour,"140, Heritage Lane, Bhubaneswar",October to February,5115
Rishikesh,Food Tasting,"52, Old Town, Rishikesh",October to March,1739
Leh,Adventure Sports,"111, Riverfront Area, Leh",September to February,10606
Amritsar,River Rafting,"11, Central Plaza, Amritsar",September to February,10274
Patna,Temple Visit,"29, Heritage Lane, Patna",October to February,1084
Coimbatore,Food Tasting,"31, Lake Side, Coimbatore",December to March,2011
Thiruvananthapuram,Trekking,"23, Temple Road, Thiruvananthapuram",December to March,5322
Shillong,River Rafting,"88, Heritage Lane, Shillong",October to February,6110
Hyderabad,Trekking,"45, Main Street, Hyderabad",December to March,7304
Chandigarh,Museum Visit,"61, Central Plaza, Chandigarh",September to February,1150
Hyderabad,Temple Visit,"65, Temple Road, Hyderabad",November to February,3188
Varanasi,Museum Visit,"85, Lake Side, Varanasi",September to February,2322
Thiruvananthapuram,Food Tasting,"115, Cultural District, Thiruvananthapuram",November to February,3773
Chandigarh,River Rafting,"1, Hill View Road, Chandigarh",October to March,10289
Agartala,Historical Tour,"47, Garden Street, Agartala",October to February,7294
Vadodara,Historical Tour,"14, Old Town, Vadodara",October to March,6726
Mysore,Historical Tour,"83, Main Street, Mysore",December to March,5786
Rishikesh,Adventure Sports,"90, Heritage Lane, Rishikesh",October to March,7986
Diu,Trekking,"125, Old Town, Diu",December to March,4825
Vadodara,Food Tasting,"72, Heritage Lane, Vadodara",October to March,1563
Manali,Cultural Tour,"138, Main Street, Manali",September to February,4000
Ranchi,Cultural Tour,"34, Main Street, Ranchi",November to March,7933
Jaipur,Sightseeing,"57, Beachside Promenade, Jaipur",September to February,6483
Ahmedabad,Sightseeing,"138, Hill View Road, Ahmedabad",October to March,4909
Thiruvananthapuram,Museum Visit,"148, Garden Street, Thiruvananthapuram",November to February,2251
Pune,Adventure Sports,"44, Riverfront Area, Pune",November to February,7907
Darjeeling,River Rafting,"71, Central Plaza, Darjeeling",October to February,7412
Shillong,Sightseeing,"68, Garden Street, Shillong",October to February,4059
Chandigarh,River Rafting,"117, Central Plaza, Chandigarh",October to March,7756
Daman,Wildlife Safari,"75, Old Town, Daman",November to April,7895
Varanasi,Cultural Tour,"99, Central Plaza, Varanasi",October to March,7842
Kolkata,Adventure Sports,"81, Old Town, Kolkata",October to February,13707
Udaipur,Adventure Sports,"134, Lake Side, Udaipur",October to March,11036
Pune,Adventure Sports,"123, Lake Side, Pune",October to March,7821
Imphal,Historical Tour,"50, Central Plaza, Imphal",November to March,7289
Kochi,Sightseeing,"149, Heritage Lane, Kochi",December to March,6721
Mumbai,River Rafting,"90, Hill View Road, Mumbai",November to February,8426
Daman,Beach Visit,"105, Riverfront Area, Daman",December to March,2918
Jodhpur,Historical Tour,"111, Old Town, Jodhpur",October to March,5882
Leh,Sightseeing,"109, Temple Road, Leh",September to February,3985
Bengaluru,Adventure Sports,"122, Central Plaza, Bengaluru",November to February,13631
Chandigarh,Cultural Tour,"113, Heritage Lane, Chandigarh",October to March,7387
Jodhpur,Historical Tour,"8, Lake Side, Jodhpur",November to February,7581
Nagpur,Historical Tour,"101, Market Road, Nagpur",October to March,5124
Delhi,Museum Visit,"125, Market Road, Delhi",October to March,1672
Madurai,Sightseeing,"63, Beachside Promenade, Madurai",November to February,5508
Mumbai,Museum Visit,"116, Garden Street, Mumbai",November to February,2032
Daman,Cultural Tour,"138, Lake Side, Daman",November to April,7609
Leh,Museum Visit,"29, Garden Street, Leh",September to February,1292
Pondicherry,Food Tasting,"80, Central Plaza, Pondicherry",December to March,1938
Kavaratti,Food Tasting,"130, Main Street, Kavaratti",November to April,1913
Pune,Shopping,"114, Riverfront Area, Pune",November to February,4462
Shillong,Wildlife Safari,"145, Beachside Promenade, Shillong",November to March,6636
Pondicherry,River Rafting,"68, Temple Road, Pondicherry",November to February,8210
Chandigarh,Beach Visit,"42, Lake Side, Chandigarh",September to February,4046
Leh,Adventure Sports,"106, Hill View Road, Leh",September to February,11364
Lakshadweep,Historical Tour,"22, Riverfront Area, Lakshadweep",November to April,7966
Gangtok,Food Tasting,"103, Temple Road, Gangtok",November to March,3400
Vadodara,Shopping,"69, Heritage Lane, Vadodara",November to February,2951
Jaipur,Sightseeing,"49, Beachside Promenade, Jaipur",September to February,4838
Puri,River Rafting,"4, Garden Street, Puri",November to March,11135
Port Blair,River Rafting,"114, Old Town, Port Blair",December to March,8387
Thiruvananthapuram,Historical Tour,"8, Hill View Road, Thiruvananthapuram",November to February,3997
Ahmedabad,Sightseeing,"3, Old Town, Ahmedabad",November to February,3312
Darjeeling,Shopping,"85, Main Street, Darjeeling",November to March,3774
Agartala,Trekking,"73, Temple Road, Agartala",November to March,6599
Chennai,Sightseeing,"71, Hill View Road, Chennai",December to March,6416
Vijayawada,Food Tasting,"22, Heritage Lane, Vijayawada",November to February,3329
Vadodara,Museum Visit,"15, Riverfront Area, Vadodara",October to March,2093
Agra,Historical Tour,"106, Heritage Lane, Agra",September to February,3091
Daman,Beach Visit,"140, Main Street, Daman",November to April,3071
Mumbai,Trekking,"145, Garden Street, Mumbai",November to February,7528
Pune,Food Tasting,"145, Garden Street, Pune",October to March,2181
Rishikesh,Museum Visit,"18, Old Town, Rishikesh",September to February,2912
Diu,Beach Visit,"48, Hill View Road, Diu",November to April,5358
Mumbai,River Rafting,"74, Lake Side, Mumbai",November to February,8334
Kavaratti,Cultural Tour,"121, Riverfront Area, Kavaratti",December to March,6593
Kavaratti,River Rafting,"127, Main Street, Kavaratti",November to April,6386
Pune,Wildlife Safari,"121, Market Road, Pune",October to March,7492
Ranchi,Trekking,"104, Garden Street, Ranchi",October to February,8987
Bengaluru,Historical Tour,"141, Heritage Lane, Bengaluru",December to March,3834
Thiruvananthapuram,Trekking,"24, Heritage Lane, Thiruvananthapuram",November to February,7467
Amritsar,Historical Tour,"86, Main Street, Amritsar",October to March,6258
Amritsar,Wildlife Safari,"90, Cultural District, Amritsar",October to March,8129
Amritsar,Cultural Tour,"66, Old Town, Amritsar",September to February,5715
Madurai,Adventure Sports,"93, Hill View Road, Madurai",December to March,11849
Bhubaneswar,Beach Visit,"138, Old Town, Bhubaneswar",October to February,3440
Jaipur,Shopping,"56, Market Road, Jaipur",October to March,4110
Surat,River Rafting,"135, Beachside Promenade, Surat",October to March,6696
Shimla,Museum Visit,"6, Temple Road, Shimla",September to February,2603
Agra,Historical Tour,"70, Lake Side, Agra",September to February,4269
Surat,River Rafting,"146, Market Road, Surat",October to March,8396
Thiruvananthapuram,Cultural Tour,"145, Lake Side, Thiruvananthapuram",November to February,3926
Jodhpur,Historical Tour,"83, Hill View Road, Jodhpur",November to February,5225
Pondicherry,Trekking,"100, Riverfront Area, Pondicherry",December to March,8375
Lakshadweep,Wildlife Safari,"124, Temple Road, Lakshadweep",November to April,6802
Kolkata,Trekking,"56, Old Town, Kolkata",October to February,8721
Vijayawada,Trekking,"55, Riverfront Area, Vijayawada",December to March,6320
Kolkata,River Rafting,"1, Market Road, Kolkata",November to March,8737
Leh,Wildlife Safari,"97, Market Road, Leh",September to February,7179
